frame_idx,level,count,gpu_mem_mb
562,P3,0,0
563,P4,12,272
564,P5,20,604
565,P3,0,0
566,P4,11,283
567,P5,23,627
568,P3,0,0
569,P4,0,0
570,P5,0,0
571,P3,6,6
572,P4,44,44
573,P5,0,0
574,P3,17,23
575,P4,47,91
576,P5,1,1
577,P3,8,31
578,P4,44,135
579,P5,1,2
580,P3,10,41
581,P4,40,175
582,P5,0,2
583,P3,11,52
584,P4,49,224
585,P5,2,4
586,P3,8,60
587,P4,45,269
588,P5,4,8
589,P3,9,69
590,P4,40,309
591,P5,0,8
592,P3,7,76
593,P4,40,349
594,P5,1,9
595,P3,0,0
596,P4,0,0
597,P5,0,0
598,P3,0,0
599,P4,8,8
600,P5,21,21
601,P3,0,0
602,P4,8,16
603,P5,21,42
604,P3,0,0
605,P4,10,26
606,P5,19,61
607,P3,0,0
608,P4,6,32
609,P5,18,79
610,P3,0,0
611,P4,10,42
612,P5,20,99
613,P3,0,0
614,P4,0,0
615,P5,0,0
616,P3,32,32
617,P4,128,128
618,P5,25,25
619,P3,27,59
620,P4,126,254
621,P5,21,46
622,P3,33,92
623,P4,135,389
624,P5,23,69
625,P3,35,127
626,P4,140,529
627,P5,27,96
628,P3,46,173
629,P4,136,665
630,P5,20,116
631,P3,0,0
632,P4,0,0
633,P5,0,0
634,P3,0,0
635,P4,12,12
636,P5,17,17
637,P3,0,0
638,P4,6,18
639,P5,22,39
640,P3,0,0
641,P4,12,30
642,P5,19,58
643,P3,0,0
644,P4,2,32
645,P5,19,77
646,P3,0,0
647,P4,6,38
648,P5,19,96
649,P3,0,0
650,P4,8,46
651,P5,16,112
652,P3,0,0
653,P4,4,50
654,P5,21,133
655,P3,0,0
656,P4,6,56
657,P5,25,158
658,P3,0,0
659,P4,10,66
660,P5,15,173
661,P3,0,0
662,P4,7,73
663,P5,23,196
664,P3,0,0
665,P4,6,79
666,P5,22,218
667,P3,0,0
668,P4,7,86
669,P5,14,232
670,P3,0,0
671,P4,11,97
672,P5,23,255
673,P3,0,0
674,P4,9,106
675,P5,19,274
676,P3,0,0
677,P4,8,114
678,P5,20,294
679,P3,0,0
680,P4,5,119
681,P5,20,314
682,P3,0,0
683,P4,3,122
684,P5,21,335
685,P3,0,0
686,P4,4,126
687,P5,21,356
688,P3,0,0
689,P4,0,0
690,P5,0,0
691,P3,6,6
692,P4,7,7
693,P5,13,13
694,P3,8,14
695,P4,8,15
696,P5,10,23
697,P3,9,23
698,P4,8,23
699,P5,14,37
700,P3,6,29
701,P4,8,31
702,P5,16,53
703,P3,14,43
704,P4,4,35
705,P5,10,63
706,P3,14,57
707,P4,12,47
708,P5,10,73
709,P3,14,71
710,P4,8,55
711,P5,22,95
712,P3,10,81
713,P4,5,60
714,P5,16,111
715,P3,9,90
716,P4,9,69
717,P5,16,127
718,P3,7,97
719,P4,6,75
720,P5,13,140
721,P3,11,108
722,P4,15,90
723,P5,12,152
724,P3,15,123
725,P4,12,102
726,P5,10,162
727,P3,12,135
728,P4,8,110
729,P5,16,178
730,P3,10,145
731,P4,14,124
732,P5,12,190
733,P3,14,159
734,P4,13,137
735,P5,13,203
736,P3,14,173
737,P4,8,145
738,P5,11,214
739,P3,10,183
740,P4,7,152
741,P5,13,227
742,P3,5,188
743,P4,7,159
744,P5,10,237
745,P3,8,196
746,P4,12,171
747,P5,12,249
748,P3,8,204
749,P4,4,175
750,P5,16,265
751,P3,12,216
752,P4,9,184
753,P5,14,279
754,P3,13,229
755,P4,11,195
756,P5,13,292
757,P3,14,243
758,P4,11,206
759,P5,14,306
760,P3,14,257
761,P4,8,214
762,P5,12,318
763,P3,12,269
764,P4,9,223
765,P5,19,337
766,P3,9,278
767,P4,6,229
768,P5,17,354
769,P3,9,287
770,P4,11,240
771,P5,12,366
772,P3,16,303
773,P4,3,243
774,P5,14,380
775,P3,11,314
776,P4,12,255
777,P5,11,391
778,P3,10,324
779,P4,5,260
780,P5,12,403
781,P3,12,336
782,P4,8,268
783,P5,13,416
784,P3,9,345
785,P4,8,276
786,P5,17,433
787,P3,8,353
788,P4,12,288
789,P5,15,448
790,P3,12,365
791,P4,9,297
792,P5,24,472
793,P3,12,377
794,P4,10,307
795,P5,13,485
796,P3,9,386
797,P4,7,314
798,P5,14,499
799,P3,15,401
800,P4,9,323
801,P5,13,512
802,P3,0,0
803,P4,0,0
804,P5,0,0
805,P3,11,11
806,P4,41,41
807,P5,0,0
808,P3,15,26
809,P4,39,80
810,P5,2,2
811,P3,9,35
812,P4,32,112
813,P5,6,8
814,P3,12,47
815,P4,32,144
816,P5,2,10
817,P3,14,61
818,P4,36,180
819,P5,5,15
820,P3,12,73
821,P4,39,219
822,P5,6,21
823,P3,4,77
824,P4,31,250
825,P5,6,27
826,P3,19,96
827,P4,40,290
828,P5,2,29
829,P3,12,108
830,P4,27,317
831,P5,4,33
832,P3,11,119
833,P4,27,344
834,P5,7,40
835,P3,10,129
836,P4,37,381
837,P5,5,45
838,P3,13,142
839,P4,37,418
840,P5,3,48
841,P3,21,163
842,P4,46,464
843,P5,1,49
844,P3,9,172
845,P4,32,496
846,P5,4,53
847,P3,0,0
848,P4,0,0
849,P5,0,0
850,P3,1,1
851,P4,14,14
852,P5,8,8
853,P3,0,1
854,P4,13,27
855,P5,12,20
856,P3,0,1
857,P4,16,43
858,P5,10,30
859,P3,0,1
860,P4,13,56
861,P5,14,44
862,P3,0,0
863,P4,0,0
864,P5,0,0
865,P3,0,0
866,P4,48,48
867,P5,0,0
868,P3,0,0
869,P4,38,86
870,P5,0,0
871,P3,0,0
872,P4,63,149
873,P5,0,0
874,P3,0,0
875,P4,55,204
876,P5,0,0
877,P3,0,0
878,P4,54,258
879,P5,0,0
880,P3,0,0
881,P4,50,308
882,P5,1,1
883,P3,0,0
884,P4,53,361
885,P5,0,1
886,P3,0,0
887,P4,46,407
888,P5,0,1
889,P3,0,0
890,P4,51,458
891,P5,0,1
892,P3,0,0
893,P4,50,508
894,P5,1,2
895,P3,0,0
896,P4,54,562
897,P5,0,2
898,P3,0,0
899,P4,48,610
900,P5,2,4
901,P3,0,0
902,P4,61,671
903,P5,0,4
904,P3,0,0
905,P4,44,715
906,P5,0,4
907,P3,0,0
908,P4,41,756
909,P5,0,4
910,P3,0,0
911,P4,53,809
912,P5,0,4
913,P3,0,0
914,P4,52,861
915,P5,0,4
916,P3,0,0
917,P4,45,906
918,P5,0,4
919,P3,0,0
920,P4,53,959
921,P5,0,4
922,P3,0,0
923,P4,47,1006
924,P5,0,4
925,P3,0,0
926,P4,55,1061
927,P5,0,4
928,P3,0,0
929,P4,55,1116
930,P5,0,4
931,P3,0,0
932,P4,44,1160
933,P5,0,4
934,P3,0,0
935,P4,51,1211
936,P5,3,7
937,P3,0,0
938,P4,61,1272
939,P5,0,7
940,P3,0,0
941,P4,51,1323
942,P5,0,7
943,P3,0,0
944,P4,53,1376
945,P5,0,7
946,P3,0,0
947,P4,54,1430
948,P5,2,9
949,P3,0,0
950,P4,57,1487
951,P5,0,9
952,P3,0,0
953,P4,60,1547
954,P5,0,9
955,P3,0,0
956,P4,0,0
957,P5,0,0
958,P3,7,7
959,P4,26,26
960,P5,4,4
961,P3,1,8
962,P4,29,55
963,P5,4,8
964,P3,3,11
965,P4,23,78
966,P5,2,10
967,P3,3,14
968,P4,33,111
969,P5,4,14
970,P3,6,20
971,P4,27,138
972,P5,1,15
973,P3,10,30
974,P4,23,161
975,P5,5,20
976,P3,5,35
977,P4,28,189
978,P5,0,20
979,P3,0,0
980,P4,0,0
981,P5,0,0
982,P3,60,60
983,P4,141,141
984,P5,11,11
985,P3,104,164
986,P4,153,294
987,P5,6,17
988,P3,0,0
989,P4,0,0
990,P5,0,0
991,P3,0,0
992,P4,11,11
993,P5,12,12
994,P3,0,0
995,P4,0,0
996,P5,0,0
997,P3,3,3
998,P4,24,24
999,P5,5,5
1000,P3,4,7
1001,P4,14,38
1002,P5,5,10
1003,P3,3,10
1004,P4,16,54
1005,P5,8,18
1006,P3,2,12
1007,P4,13,67
1008,P5,12,30
1009,P3,3,15
1010,P4,28,95
1011,P5,7,37
1012,P3,4,19
1013,P4,33,128
1014,P5,2,39
1015,P3,4,23
1016,P4,20,148
1017,P5,7,46
1018,P3,5,28
1019,P4,22,170
1020,P5,7,53
1021,P3,2,30
1022,P4,19,189
1023,P5,7,60
1024,P3,3,33
1025,P4,13,202
1026,P5,12,72
1027,P3,5,38
1028,P4,27,229
1029,P5,4,76
1030,P3,8,46
1031,P4,22,251
1032,P5,8,84
1033,P3,10,56
1034,P4,16,267
1035,P5,10,94
1036,P3,6,62
1037,P4,21,288
1038,P5,10,104
1039,P3,5,67
1040,P4,27,315
1041,P5,4,108
1042,P3,4,71
1043,P4,19,334
1044,P5,8,116
1045,P3,6,77
1046,P4,21,355
1047,P5,6,122
1048,P3,5,82
1049,P4,18,373
1050,P5,14,136
1051,P3,2,84
1052,P4,11,384
1053,P5,9,145
1054,P3,6,90
1055,P4,22,406
1056,P5,9,154
1057,P3,7,97
1058,P4,14,420
1059,P5,13,167
1060,P3,3,100
1061,P4,17,437
1062,P5,6,173
1063,P3,5,105
1064,P4,21,458
1065,P5,7,180
1066,P3,7,112
1067,P4,16,474
1068,P5,7,187
1069,P3,6,118
1070,P4,25,499
1071,P5,11,198
1072,P3,4,122
1073,P4,25,524
1074,P5,7,205
1075,P3,7,129
1076,P4,18,542
1077,P5,5,210
1078,P3,2,131
1079,P4,18,560
1080,P5,9,219
1081,P3,4,135
1082,P4,21,581
1083,P5,9,228
1084,P3,5,140
1085,P4,17,598
1086,P5,15,243
1087,P3,6,146
1088,P4,29,627
1089,P5,6,249
1090,P3,5,151
1091,P4,21,648
1092,P5,9,258
1093,P3,3,154
1094,P4,20,668
1095,P5,8,266
1096,P3,5,159
1097,P4,21,689
1098,P5,9,275
1099,P3,6,165
1100,P4,18,707
1101,P5,10,285
1102,P3,4,169
1103,P4,24,731
1104,P5,5,290
1105,P3,3,172
1106,P4,23,754
1107,P5,8,298
1108,P3,6,178
1109,P4,17,771
1110,P5,9,307
1111,P3,6,184
1112,P4,20,791
1113,P5,13,320
1114,P3,1,185
1115,P4,18,809
1116,P5,11,331
1117,P3,4,189
1118,P4,20,829
1119,P5,11,342
1120,P3,5,194
1121,P4,18,847
1122,P5,7,349
1123,P3,4,198
1124,P4,18,865
1125,P5,6,355
1126,P3,3,201
1127,P4,26,891
1128,P5,9,364
1129,P3,4,205
1130,P4,20,911
1131,P5,10,374
1132,P3,5,210
1133,P4,18,929
1134,P5,9,383
1135,P3,6,216
1136,P4,23,952
1137,P5,4,387
1138,P3,3,219
1139,P4,29,981
1140,P5,7,394
1141,P3,0,0
1142,P4,0,0
1143,P5,0,0
1144,P3,0,0
1145,P4,0,0
1146,P5,16,16
1147,P3,0,0
1148,P4,0,0
1149,P5,16,32
1150,P3,0,0
1151,P4,0,0
1152,P5,16,48
1153,P3,0,0
1154,P4,0,0
1155,P5,16,64
1156,P3,0,0
1157,P4,0,0
1158,P5,16,80
1159,P3,0,0
1160,P4,0,0
1161,P5,16,96
1162,P3,0,0
1163,P4,0,0
1164,P5,16,112
1165,P3,0,0
1166,P4,0,0
1167,P5,16,128
1168,P3,0,0
1169,P4,1,1
1170,P5,17,145
1171,P3,0,0
1172,P4,0,1
1173,P5,16,161
1174,P3,0,0
1175,P4,0,1
1176,P5,15,176
1177,P3,0,0
1178,P4,0,1
1179,P5,15,191
1180,P3,0,0
1181,P4,0,1
1182,P5,16,207
1183,P3,0,0
1184,P4,0,1
1185,P5,16,223
1186,P3,0,0
1187,P4,0,1
1188,P5,16,239
1189,P3,0,0
1190,P4,0,1
1191,P5,16,255
1192,P3,0,0
1193,P4,0,1
1194,P5,16,271
1195,P3,0,0
1196,P4,0,1
1197,P5,16,287
1198,P3,0,0
1199,P4,0,1
1200,P5,16,303
1201,P3,0,0
1202,P4,0,1
1203,P5,16,319
1204,P3,0,0
1205,P4,0,1
1206,P5,16,335
1207,P3,0,0
1208,P4,0,1
1209,P5,16,351
1210,P3,0,0
1211,P4,0,1
1212,P5,16,367
1213,P3,0,0
1214,P4,0,0
1215,P5,0,0
1216,P3,6,6
1217,P4,22,22
1218,P5,2,2
1219,P3,8,14
1220,P4,18,40
1221,P5,3,5
1222,P3,10,24
1223,P4,19,59
1224,P5,2,7
1225,P3,3,27
1226,P4,19,78
1227,P5,2,9
1228,P3,8,35
1229,P4,17,95
1230,P5,3,12
1231,P3,3,38
1232,P4,17,112
1233,P5,0,12
1234,P3,2,40
1235,P4,17,129
1236,P5,2,14
1237,P3,0,0
1238,P4,0,0
1239,P5,0,0
1240,P3,0,0
1241,P4,2,2
1242,P5,14,14
1243,P3,0,0
1244,P4,5,7
1245,P5,11,25
1246,P3,0,0
1247,P4,2,9
1248,P5,14,39
1249,P3,0,0
1250,P4,6,15
1251,P5,10,49
1252,P3,0,0
1253,P4,5,20
1254,P5,11,60
1255,P3,0,0
1256,P4,3,23
1257,P5,13,73
1258,P3,0,0
1259,P4,1,24
1260,P5,15,88
1261,P3,0,0
1262,P4,2,26
1263,P5,14,102
1264,P3,0,0
1265,P4,5,31
1266,P5,11,113
1267,P3,0,0
1268,P4,5,36
1269,P5,11,124
1270,P3,0,0
1271,P4,4,40
1272,P5,12,136
1273,P3,0,0
1274,P4,0,0
1275,P5,0,0
1276,P3,3,3
1277,P4,109,109
1278,P5,3,3
1279,P3,9,12
1280,P4,105,214
1281,P5,2,5
1282,P3,14,26
1283,P4,73,287
1284,P5,16,21
1285,P3,9,35
1286,P4,99,386
1287,P5,7,28
1288,P3,11,46
1289,P4,87,473
1290,P5,13,41
1291,P3,20,66
1292,P4,107,580
1293,P5,4,45
1294,P3,13,79
1295,P4,89,669
1296,P5,9,54
1297,P3,24,103
1298,P4,103,772
1299,P5,4,58
1300,P3,0,0
1301,P4,0,0
1302,P5,0,0
1303,P3,0,0
1304,P4,0,0
1305,P5,37,37
1306,P3,0,0
1307,P4,0,0
1308,P5,42,79
1309,P3,0,0
1310,P4,0,0
1311,P5,52,131
1312,P3,0,0
1313,P4,0,0
1314,P5,43,174
1315,P3,0,0
1316,P4,2,2
1317,P5,42,216
1318,P3,0,0
1319,P4,0,2
1320,P5,47,263
1321,P3,0,0
1322,P4,0,2
1323,P5,45,308
1324,P3,0,0
1325,P4,0,2
1326,P5,43,351
1327,P3,0,0
1328,P4,0,2
1329,P5,44,395
1330,P3,0,0
1331,P4,1,3
1332,P5,46,441
1333,P3,0,0
1334,P4,0,3
1335,P5,38,479
1336,P3,0,0
1337,P4,0,3
1338,P5,35,514
1339,P3,0,0
1340,P4,1,4
1341,P5,47,561
1342,P3,0,0
1343,P4,2,6
1344,P5,49,610
1345,P3,0,0
1346,P4,2,8
1347,P5,43,653
1348,P3,0,0
1349,P4,1,9
1350,P5,41,694
1351,P3,0,0
1352,P4,0,9
1353,P5,52,746
1354,P3,0,0
1355,P4,2,11
1356,P5,38,784
1357,P3,0,0
1358,P4,0,0
1359,P5,0,0
1360,P3,26,26
1361,P4,18,18
1362,P5,18,18
1363,P3,30,56
1364,P4,18,36
1365,P5,17,35
1366,P3,31,87
1367,P4,16,52
1368,P5,16,51
1369,P3,26,113
1370,P4,15,67
1371,P5,17,68
1372,P3,31,144
1373,P4,15,82
1374,P5,17,85
1375,P3,21,165
1376,P4,14,96
1377,P5,16,101
1378,P3,23,188
1379,P4,17,113
